"","strain","hit_score.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","hit_id.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","description.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","hit_score.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","hit_id.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","description.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","hit_score.methylmalonyl-CoA-epimerase-EC5-1-99-1","hit_id.methylmalonyl-CoA-epimerase-EC5-1-99-1","description.methylmalonyl-CoA-epimerase-EC5-1-99-1","hit_score.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","hit_id.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","description.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","hit_score.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","hit_id.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","description.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","hit_score.methylmalonyl-CoA-mutase-EC5-4-99-2","hit_id.methylmalonyl-CoA-mutase-EC5-4-99-2","description.methylmalonyl-CoA-mutase-EC5-4-99-2","hit_score.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","hit_id.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","description.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","hit_score.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","hit_id.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","description.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","hit_score.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","hit_id.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","description.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","pathway","hit_score.acrC","hit_id.acrC","description.acrC","hit_score.lcdC","hit_id.lcdC","description.lcdC","hit_score.pct","hit_id.pct","description.pct","hit_score.lcdB","hit_id.lcdB","description.lcdB","hit_score.lcdA","hit_id.lcdA","description.lcdA","hit_score.Roseburia-inulivorans-pduCDE","hit_id.Roseburia-inulivorans-pduCDE","hit_score.pduW","hit_id.pduW","hit_score.pduP","hit_id.pduP","hit_score.fucO","hit_id.fucO","hit_score.pduL","hit_id.pduL","hit_score.pduC","hit_id.pduC","hit_score.pduD","hit_id.pduD","hit_score.pduE","hit_id.pduE"
"67","Corynebacterium_kroppenstedtii",NA,NA,NA,NA,NA,NA,172,"NC_012704.1_1284/15-151","Corynebacterium_kroppenstedtii_methylmalonyl-CoA-epimerase-EC5-1-99-1",769.2,"NC_012704.1_1536/20-542","Corynebacterium_kroppenstedtii_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",NA,NA,NA,764.9,"NC_012704.1_933/8-734","Corynebacterium_kroppenstedtii_methylmalonyl-CoA-mutase-EC5-4-99-2",900.4,"NC_012704.1_46/7-525","Corynebacterium_kroppenstedtii_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",176.5,"NC_012704.1_48/1-121","Corynebacterium_kroppenstedtii_methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490",1037.5,"NC_012704.1_45/1-498","Corynebacterium_kroppenstedtii_methylmalonyl-CoA-carboxyltransferase5S-KOK03416","Wood-Werkman Cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Corynebacterium_ulcerans",NA,NA,NA,112.8,"NZ_CP009716.1_620/3-120","Corynebacterium_ulcerans_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",184.5,"NZ_CP009716.1_910/15-152","Corynebacterium_ulcerans_methylmalonyl-CoA-epimerase-EC5-1-99-1",785,"NZ_CP009716.1_618/7-517","Corynebacterium_ulcerans_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",NA,NA,NA,760.7,"NZ_CP009716.1_1137/16-731","Corynebacterium_ulcerans_methylmalonyl-CoA-mutase-EC5-4-99-2",917.7,"NZ_CP009716.1_618/1-517","Corynebacterium_ulcerans_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",193.5,"NZ_CP009716.1_620/1-120","Corynebacterium_ulcerans_methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490",1048.6,"NZ_CP009716.1_617/1-492","Corynebacterium_ulcerans_methylmalonyl-CoA-carboxyltransferase5S-KOK03416","Wood-Werkman Cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Cutibacterium_acnes",NA,NA,NA,NA,NA,NA,181.5,"NC_021085.1_1095/3-151","Cutibacterium_acnes_methylmalonyl-CoA-epimerase-EC5-1-99-1",779.2,"NC_021085.1_1991/15-523","Cutibacterium_acnes_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",NA,NA,NA,779.1,"NC_021085.1_1586/30-719","Cutibacterium_acnes_methylmalonyl-CoA-mutase-EC5-4-99-2",931,"NC_021085.1_1991/11-524","Cutibacterium_acnes_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",175.6,"NC_021085.1_1989/1-119","Cutibacterium_acnes_methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490",1051.3,"NC_021085.1_1992/1-497","Cutibacterium_acnes_methylmalonyl-CoA-carboxyltransferase5S-KOK03416","Wood-Werkman Cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Eubacterium_tenue",586.9,"NZ_JADPFO010000001.1_1056/3-393","Eubacterium_tenue_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",156.6,"NZ_JADPFO010000001.1_1057/1-126","Eubacterium_tenue_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",223.5,"NZ_JADPFO010000001.1_1060/1-135","Eubacterium_tenue_methylmalonyl-CoA-epimerase-EC5-1-99-1",917.5,"NZ_JADPFO010000001.1_1059/2-515","Eubacterium_tenue_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",95.2,"NZ_JADPFO010000001.1_1058/1-122","Eubacterium_tenue_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",589.9,"NZ_JADPFO010000001.1_1063/6-553","Eubacterium_tenue_methylmalonyl-CoA-mutase-EC5-4-99-2",685.7,"NZ_JADPFO010000001.1_1059/3-513","Eubacterium_tenue_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Intestinimonas_butyriciproducens",570.7,"NZ_MJII01000001.1_2884/3-447","Intestinimonas_butyriciproducens_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",148.9,"NZ_MJII01000001.1_2885/1-129","Intestinimonas_butyriciproducens_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",210.4,"NZ_MJII01000001.1_2888/1-134","Intestinimonas_butyriciproducens_methylmalonyl-CoA-epimerase-EC5-1-99-1",896.9,"NZ_MJII01000001.1_2887/3-513","Intestinimonas_butyriciproducens_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",75.3,"NZ_MJII01000001.1_2886/4-110","Intestinimonas_butyriciproducens_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",816.9,"NZ_MJII01000001.1_2882/17-727","Intestinimonas_butyriciproducens_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Megamonas_funiformis",559.2,"NZ_AP024966.1_1557/2-370","Megamonas_funiformis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",148.8,"NZ_AP024966.1_1580/1-123","Megamonas_funiformis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",206.9,"NZ_AP024966.1_1583/1-135","Megamonas_funiformis_methylmalonyl-CoA-epimerase-EC5-1-99-1",888.4,"NZ_AP024966.1_1582/3-509","Megamonas_funiformis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",77.6,"NZ_AP024966.1_1558/4-90","Megamonas_funiformis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",582.1,"NZ_AP024966.1_1586/6-546","Megamonas_funiformis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Megamonas_hypermegale",560,"NZ_LT906446.1_268/1-370","Megamonas_hypermegale_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",150.1,"NZ_LT906446.1_1211/1-124","Megamonas_hypermegale_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",208.5,"NZ_LT906446.1_1214/1-135","Megamonas_hypermegale_methylmalonyl-CoA-epimerase-EC5-1-99-1",895.4,"NZ_LT906446.1_1213/3-511","Megamonas_hypermegale_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",78.8,"NZ_LT906446.1_267/4-96","Megamonas_hypermegale_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",582,"NZ_LT906446.1_1217/5-546","Megamonas_hypermegale_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Negativicoccus_succinicivorans",548.9,"NZ_JACHHI010000006.1_37/3-371","Negativicoccus_succinicivorans_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",154.7,"NZ_JACHHI010000006.1_38/1-129","Negativicoccus_succinicivorans_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",197.9,"NZ_JACHHI010000006.1_41/3-137","Negativicoccus_succinicivorans_methylmalonyl-CoA-epimerase-EC5-1-99-1",873.1,"NZ_JACHHI010000006.1_40/4-509","Negativicoccus_succinicivorans_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",95.7,"NZ_JACHHI010000006.1_39/5-111","Negativicoccus_succinicivorans_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",576.4,"NZ_JACHHI010000006.1_44/15-545","Negativicoccus_succinicivorans_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Odoribacter_splanchnicus",596.9,"NZ_CP086000.1_3286/30-420","Odoribacter_splanchnicus_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",169.7,"NZ_CP086000.1_3287/1-139","Odoribacter_splanchnicus_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",232.8,"NZ_CP086000.1_3290/1-133","Odoribacter_splanchnicus_methylmalonyl-CoA-epimerase-EC5-1-99-1",910.7,"NZ_CP086000.1_3289/3-520","Odoribacter_splanchnicus_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",109.1,"NZ_CP086000.1_3288/1-110","Odoribacter_splanchnicus_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",835.7,"NZ_CP086000.1_2786/11-715","Odoribacter_splanchnicus_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Parabacteroides-johnsonii-DSM-18315-MAF-2",608.9,"1_1879/16-397","Parabacteroides-johnsonii-DSM-18315-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",195.9,"1_1878/1-142","Parabacteroides-johnsonii-DSM-18315-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",243.5,"1_1875/1-133","Parabacteroides-johnsonii-DSM-18315-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",940.7,"1_1876/3-517","Parabacteroides-johnsonii-DSM-18315-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",103.6,"1_1877/174-291","Parabacteroides-johnsonii-DSM-18315-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",854.7,"1_2413/1-620","Parabacteroides-johnsonii-DSM-18315-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Parabacteroides-merdae-ATCC-43184-MAF-2",612.1,"1_482/17-397","Parabacteroides-merdae-ATCC-43184-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",196.4,"1_483/1-142","Parabacteroides-merdae-ATCC-43184-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",244.3,"1_486/1-133","Parabacteroides-merdae-ATCC-43184-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",940.7,"1_485/3-517","Parabacteroides-merdae-ATCC-43184-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",96.4,"1_484/176-290","Parabacteroides-merdae-ATCC-43184-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",856.3,"1_62/1-620","Parabacteroides-merdae-ATCC-43184-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Parabacteroides-sp-D13-MAF-2",610.3,"1_165/9-385","Parabacteroides-sp-D13-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",193.7,"1_166/1-142","Parabacteroides-sp-D13-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",244,"1_169/1-134","Parabacteroides-sp-D13-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",941.3,"1_168/3-517","Parabacteroides-sp-D13-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",93.4,"1_167/176-291","Parabacteroides-sp-D13-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",845.1,"1_2816/1-618","Parabacteroides-sp-D13-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Parabacteroides_distasonis",610.3,"NZ_CP050956.1_2684/9-385","Parabacteroides_distasonis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",193.7,"NZ_CP050956.1_2685/1-142","Parabacteroides_distasonis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",244,"NZ_CP050956.1_2688/1-134","Parabacteroides_distasonis_methylmalonyl-CoA-epimerase-EC5-1-99-1",941.3,"NZ_CP050956.1_2687/3-517","Parabacteroides_distasonis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",93.4,"NZ_CP050956.1_2686/176-291","Parabacteroides_distasonis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",842.9,"NZ_CP050956.1_762/1-618","Parabacteroides_distasonis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Parabacteroides_faecis",611.1,"NZ_JACHOC010000013.1_87/5-385","Parabacteroides_faecis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",194.6,"NZ_JACHOC010000013.1_88/1-142","Parabacteroides_faecis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",245.3,"NZ_JACHOC010000013.1_91/1-134","Parabacteroides_faecis_methylmalonyl-CoA-epimerase-EC5-1-99-1",940.6,"NZ_JACHOC010000013.1_90/3-517","Parabacteroides_faecis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",96,"NZ_JACHOC010000013.1_89/179-290","Parabacteroides_faecis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",843.7,"NZ_JACHOC010000010.1_16/1-619","Parabacteroides_faecis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Parabacteroides_goldsteinii",611.8,"NZ_CP081906.1_612/10-385","Parabacteroides_goldsteinii_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",195.5,"NZ_CP081906.1_613/1-142","Parabacteroides_goldsteinii_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",245.1,"NZ_CP081906.1_616/1-135","Parabacteroides_goldsteinii_methylmalonyl-CoA-epimerase-EC5-1-99-1",941.5,"NZ_CP081906.1_615/3-517","Parabacteroides_goldsteinii_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",96.5,"NZ_CP081906.1_614/179-290","Parabacteroides_goldsteinii_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",843.9,"NZ_CP081906.1_5501/1-619","Parabacteroides_goldsteinii_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Parabacteroides_gordonii",609.4,"NZ_JAIWZF010000001.1_106/5-385","Parabacteroides_gordonii_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",194.8,"NZ_JAIWZF010000001.1_105/1-142","Parabacteroides_gordonii_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",245,"NZ_JAIWZF010000001.1_102/1-133","Parabacteroides_gordonii_methylmalonyl-CoA-epimerase-EC5-1-99-1",940.7,"NZ_JAIWZF010000001.1_103/3-517","Parabacteroides_gordonii_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",99.9,"NZ_JAIWZF010000001.1_104/184-290","Parabacteroides_gordonii_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",847.7,"NZ_JAIWZF010000001.1_2524/1-619","Parabacteroides_gordonii_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Phascolarctobacterium_faecium",561.7,"NZ_AP019004.1_895/1-373","Phascolarctobacterium_faecium_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",155.2,"NZ_AP019004.1_894/1-130","Phascolarctobacterium_faecium_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",183.8,"NZ_AP019004.1_887/1-137","Phascolarctobacterium_faecium_methylmalonyl-CoA-epimerase-EC5-1-99-1",889.5,"NZ_AP019004.1_888/1-508","Phascolarctobacterium_faecium_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",96,"NZ_AP019004.1_893/2-108","Phascolarctobacterium_faecium_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",807.9,"NZ_AP019004.1_853/22-723","Phascolarctobacterium_faecium_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Phascolarctobacterium_succinatutens",558.8,"NZ_CABKPS010000054.1_16/3-374","Phascolarctobacterium_succinatutens_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",158.2,"NZ_CABKPS010000046.1_69/1-129","Phascolarctobacterium_succinatutens_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",183.5,"NZ_CABKPS010000046.1_66/2-139","Phascolarctobacterium_succinatutens_methylmalonyl-CoA-epimerase-EC5-1-99-1",885.2,"NZ_CABKPS010000046.1_67/1-508","Phascolarctobacterium_succinatutens_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",105.9,"NZ_CABKPS010000046.1_68/2-110","Phascolarctobacterium_succinatutens_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",775.6,"NZ_CABKPS010000015.1_42/14-725","Phascolarctobacterium_succinatutens_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Phocaeicola_vulgatus",613,"NZ_AP025240.1_2480/8-385","Phocaeicola_vulgatus_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",199.3,"NZ_AP025240.1_2481/1-143","Phocaeicola_vulgatus_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",238.7,"NZ_AP025240.1_2484/1-137","Phocaeicola_vulgatus_methylmalonyl-CoA-epimerase-EC5-1-99-1",941.8,"NZ_AP025240.1_2483/3-517","Phocaeicola_vulgatus_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",91.3,"NZ_AP025240.1_2482/178-304","Phocaeicola_vulgatus_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",869.8,"NZ_AP025240.1_310/1-635","Phocaeicola_vulgatus_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Porphyromonas_gingivalis",608.1,"NC_010729.1_469/9-382","Porphyromonas_gingivalis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",184.8,"NC_010729.1_468/1-147","Porphyromonas_gingivalis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",236.1,"NC_010729.1_464/1-133","Porphyromonas_gingivalis_methylmalonyl-CoA-epimerase-EC5-1-99-1",937,"NC_010729.1_465/6-517","Porphyromonas_gingivalis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",77.3,"NC_010729.1_466/194-305","Porphyromonas_gingivalis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",824.1,"NC_010729.1_426/19-712","Porphyromonas_gingivalis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Propionibacterium_acidipropionici",527.3,"NZ_CP031057.1_143/11-371","Propionibacterium_acidipropionici_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",124.4,"NZ_CP031057.1_144/2-162","Propionibacterium_acidipropionici_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",182,"NZ_CP031057.1_2002/3-152","Propionibacterium_acidipropionici_methylmalonyl-CoA-epimerase-EC5-1-99-1",787.8,"NZ_CP031057.1_2906/14-523","Propionibacterium_acidipropionici_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",NA,NA,NA,768.3,"NZ_CP031057.1_2545/22-723","Propionibacterium_acidipropionici_methylmalonyl-CoA-mutase-EC5-4-99-2",906.7,"NZ_CP031057.1_2906/11-524","Propionibacterium_acidipropionici_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",171.9,"NZ_CP031057.1_2904/1-120","Propionibacterium_acidipropionici_methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490",1023.7,"NZ_CP031057.1_2907/1-497","Propionibacterium_acidipropionici_methylmalonyl-CoA-carboxyltransferase5S-KOK03416","Wood-Werkman Cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Propionibacterium_acnes",NA,NA,NA,NA,NA,NA,181.5,"NC_021085.1_1095/3-151","Propionibacterium_acnes_methylmalonyl-CoA-epimerase-EC5-1-99-1",779.2,"NC_021085.1_1991/15-523","Propionibacterium_acnes_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",NA,NA,NA,779.1,"NC_021085.1_1586/30-719","Propionibacterium_acnes_methylmalonyl-CoA-mutase-EC5-4-99-2",931,"NC_021085.1_1991/11-524","Propionibacterium_acnes_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",175.6,"NC_021085.1_1989/1-119","Propionibacterium_acnes_methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490",1051.3,"NC_021085.1_1992/1-497","Propionibacterium_acnes_methylmalonyl-CoA-carboxyltransferase5S-KOK03416","Wood-Werkman Cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Propionibacterium_avidum",NA,NA,NA,NA,NA,NA,180.9,"NC_021064.1_1092/3-151","Propionibacterium_avidum_methylmalonyl-CoA-epimerase-EC5-1-99-1",781.6,"NC_021064.1_193/15-523","Propionibacterium_avidum_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",NA,NA,NA,781.2,"NC_021064.1_1551/22-711","Propionibacterium_avidum_methylmalonyl-CoA-mutase-EC5-4-99-2",930.3,"NC_021064.1_193/11-524","Propionibacterium_avidum_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",176.9,"NC_021064.1_195/1-119","Propionibacterium_avidum_methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490",1047.5,"NC_021064.1_192/1-497","Propionibacterium_avidum_methylmalonyl-CoA-carboxyltransferase5S-KOK03416","Wood-Werkman Cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
